model,seed,N,gamma,k,condition,accuracy_mean,entropy_mean,margin_mean,strict_fail_rate,format_violation_rate,refusal_rate,marker_hit_rate
Qwen3-8B,0,500,0.0,0,base,0.704,0.26681200555528856,4.877,,,,
Qwen3-8B,0,500,0.0,1,proj_k1,0.704,0.26681200555528856,4.877,,,,
Qwen3-8B,0,500,2.0,1,proj_k1,0.493,0.20673849005862882,5.548685326099395,,,,
Qwen3-8B,0,500,5.0,1,proj_k1,0.337,0.07347379625420003,11.157023742854594,,,,
Qwen3-8B,0,500,10.0,1,proj_k1,0.287,0.017897019617509082,22.244389591038228,,,,
Qwen3-8B,0,500,0.0,4,proj_k4,0.704,0.26681200555528856,4.877,,,,
Qwen3-8B,0,500,2.0,4,proj_k4,0.546,0.3496334262938642,4.124224147796631,,,,
Qwen3-8B,0,500,5.0,4,proj_k4,0.418,0.32453164367098813,4.13423204612732,,,,
Qwen3-8B,0,500,10.0,4,proj_k4,0.351,0.2436166459035899,5.116722114562989,,,,
