model,seed,N,gamma,condition,temperature,accuracy_mean,entropy_mean,margin_mean,strict_fail_rate,marker_hit_rate,match_target
Qwen2.5-7B-Instruct,0,500,2.0,tempmatch,1.5,0.662,0.1811146549736718,0.8700576321184635,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,5.0,base,0.6,0.675,0.1804512875340222,0.8709554896354675,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,5.0,proj,0.6,0.688,0.1805410009922939,0.8699190894067288,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,5.0,tempmatch,1.0,0.668,0.1805254334906867,0.8710619975924492,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,10.0,base,0.6,0.675,0.1804512875340222,0.8709554896354675,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,10.0,proj,0.6,0.679,0.1806406612740295,0.8685923191457987,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,10.0,tempmatch,1.2,0.677,0.1806290535388423,0.8702560014426708,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,0.0,base_tempgrid,0.2,0.674,0.1803289330895666,0.8709721746742726,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,0.0,base_tempgrid,0.4,0.681,0.1804701713973349,0.870729111135006,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,0.0,base_tempgrid,0.6,0.672,0.1799837648381363,0.8710859509706497,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,0.0,base_tempgrid,0.8,0.685,0.1805149326909858,0.870378623753786,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,0.0,base_tempgrid,1.0,0.668,0.1805254334906867,0.8710619975924492,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,0.0,base_tempgrid,1.2,0.677,0.1806290535388423,0.8702560014426708,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,0.0,base_tempgrid,1.5,0.662,0.1811146549736718,0.8700576321184635,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,0.0,base_tempgrid,2.0,0.764,0.1800372464679247,0.8706564699993689,0.003,0.0,entropy
Qwen3-8B,0,500,0.0,base,0.6,0.7,0.2661688856577093,0.8144226512312889,0.0,0.0,entropy
Qwen3-8B,0,500,0.0,proj,0.6,0.687,0.266171094938963,0.8141975065469742,0.0,0.0,entropy
Qwen3-8B,0,500,0.0,tempmatch,0.8,0.694,0.2661732458517722,0.8144322946965694,0.0,0.0,entropy
Qwen3-8B,0,500,2.0,base,0.6,0.7,0.2661688856577093,0.8144226512312889,0.0,0.0,entropy
