model,seed,N,gamma,k,condition,accuracy_mean,entropy_mean,margin_mean,strict_fail_rate,format_violation_rate,refusal_rate,marker_hit_rate
Qwen3-8B,0,500,0.0,0,base,0.704,0.2666985519603295,4.877375,,,,
Qwen3-8B,0,500,0.0,1,proj_k1,0.704,0.2666985519603295,4.877375,,,,
Qwen3-8B,0,500,2.0,1,proj_k1,0.493,0.20657853549305652,5.550298800230026,,,,
Qwen3-8B,0,500,5.0,1,proj_k1,0.337,0.07351565460986938,11.15800586014986,,,,
Qwen3-8B,0,500,10.0,1,proj_k1,0.287,0.017897029233690902,22.246103825628758,,,,
Qwen3-8B,0,500,0.0,4,proj_k4,0.704,0.2666985519603295,4.877375,,,,
Qwen3-8B,0,500,2.0,4,proj_k4,0.682,0.2892552860270789,4.618248513221741,,,,
Qwen3-8B,0,500,5.0,4,proj_k4,0.619,0.3354199853024055,4.269515892505646,,,,
Qwen3-8B,0,500,10.0,4,proj_k4,0.502,0.3477193519156741,4.097116194725037,,,,
