model,seed,N,gamma,k,condition,accuracy_mean,entropy_mean,margin_mean,strict_fail_rate,format_violation_rate,refusal_rate,marker_hit_rate
Llama-3.1-8B-Instruct,0,500,0.0,0,base,0.68,0.5227143441450304,3.2035,,,,
Llama-3.1-8B-Instruct,0,500,0.0,1,proj_k1,0.68,0.5227143441450304,3.2035,,,,
Llama-3.1-8B-Instruct,0,500,2.0,1,proj_k1,0.635,0.4704815473038793,3.0968994845980777,,,,
Llama-3.1-8B-Instruct,0,500,5.0,1,proj_k1,0.561,0.39211530340128364,3.0635331921712496,,,,
Llama-3.1-8B-Instruct,0,500,10.0,1,proj_k1,0.491,0.3223827972348322,3.218368606437929,,,,
Llama-3.1-8B-Instruct,0,500,0.0,4,proj_k4,0.68,0.5227143441450304,3.2035,,,,
Llama-3.1-8B-Instruct,0,500,2.0,4,proj_k4,0.689,0.5663638753159179,2.9240689878463746,,,,
Llama-3.1-8B-Instruct,0,500,5.0,4,proj_k4,0.677,0.6475094960908565,2.2776341972351073,,,,
Llama-3.1-8B-Instruct,0,500,10.0,4,proj_k4,0.482,0.6944740565143472,1.4299578790664673,,,,
