model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit,avg_proj
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.18366067111492157,0.2817119061946869,0.0037722766865044832,7.875,0.06557684671133757,0.1027018278837204,0,-0.18366067111492157
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.343902550637722,0.24121899902820587,0.47691434985608794,1.0,0.0733821066096425,0.1575598269701004,0,-0.343902550637722
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.26935479044914246,0.2813395857810974,0.5281035825610161,0.625,0.06547735631465912,0.2082829475402832,0,-0.26935479044914246
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.20664258301258087,0.2982679307460785,0.3907741496223025,0.125,0.15063358843326569,0.227828711271286,0,-0.20664258301258087
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.16761325299739838,0.2982264459133148,0.06178040150552988,4.75,0.06223267689347267,0.14366447925567627,0,-0.16761325299739838
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.13841542601585388,0.27687329053878784,0.019626826280727983,6.125,0.04372670594602823,0.07669003307819366,0,-0.13841542601585388
Llama-3.1-8B-Instruct,0,mmlu,,1,1,-0.04268781840801239,0.2856166362762451,0.24422676861286163,4.625,0.10288671310991049,0.21410390734672546,0,-0.04268781840801239
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.23473957180976868,0.2113134264945984,0.35767613269854337,0.625,0.10550903156399727,0.11944954097270966,0,-0.23473957180976868
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.1044207513332367,0.2674426734447479,0.024679471272975206,6.0,0.05724618397653103,0.13529008626937866,0,-0.1044207513332367
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.13190202414989471,0.20839223265647888,0.046565614407882094,4.125,0.047780657187104225,0.07324375957250595,0,-0.13190202414989471
Llama-3.1-8B-Instruct,0,mmlu,,1,1,-0.1877230554819107,0.3003802001476288,0.4378355722874403,1.5,0.18609700724482536,0.2569301128387451,0,-0.1877230554819107
Llama-3.1-8B-Instruct,0,mmlu,,1,1,-0.18614569306373596,0.2396569848060608,0.35990331321954727,2.125,0.14367248862981796,0.1644734889268875,0,-0.18614569306373596
Llama-3.1-8B-Instruct,0,mmlu,,0,1,-0.19551068544387817,0.3207000494003296,0.5803605811670423,0.5,0.10122380405664444,0.10744370520114899,0,-0.19551068544387817
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.24585039168596268,0.19533924758434296,0.521416213363409,0.25,0.12093906477093697,0.17993029952049255,0,-0.24585039168596268
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.11713791638612747,0.23737342655658722,0.01731517817825079,5.625,0.004640284925699234,0.04530702903866768,0,-0.11713791638612747
Llama-3.1-8B-Instruct,0,mmlu,,0,1,-0.33439086377620697,0.08961382508277893,0.5968302711844444,1.25,0.16060369089245796,0.22963722050189972,0,-0.33439086377620697
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.10863699018955231,0.27992573380470276,0.0110680072393734,5.875,0.013036796823143959,0.07017888873815536,0,-0.10863699018955231
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.09595734626054764,0.24262170493602753,0.01946396566927433,6.5,0.064495163038373,0.14954833686351776,0,-0.09595734626054764
Llama-3.1-8B-Instruct,0,mmlu,,1,1,-0.27449582517147064,0.19074884057044983,0.6735952959861606,0.0,0.171188585460186,0.18376916646957397,0,-0.27449582517147064
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.0954543799161911,0.2384447157382965,0.032593170064501464,5.125,0.009789624251425266,0.04113435745239258,0,-0.0954543799161911
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.057978615164756775,0.2903369069099426,0.04462226853138418,4.75,0.06123192794620991,0.06262785196304321,0,-0.057978615164756775
Llama-3.1-8B-Instruct,0,mmlu,,1,0,0.030173316597938538,0.3270788788795471,0.0010138327488675714,10.5,0.010554159060120583,0.058111537247896194,0,0.030173316597938538
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.14431637525558472,0.27903425693511963,0.10725025470310356,3.75,0.03179612709209323,0.05296779423952103,0,-0.14431637525558472
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.03713160753250122,0.30368441343307495,0.007196856429800391,6.75,0.05460822209715843,0.0634106993675232,0,-0.03713160753250122
