model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit
Qwen3-8B,0,mmlu,,1,1,7.518604755401611,9.549840927124023,0.201577415689826,10.125,0.07214130461215973,0.2689267694950104,0
Qwen3-8B,0,mmlu,,1,1,7.715664863586426,10.095545768737793,0.28771192394196987,5.0,0.2386375069618225,0.40255919098854065,0
Qwen3-8B,0,mmlu,,0,1,8.003676176071167,10.368398666381836,0.4258951246738434,1.0,0.2645876109600067,0.40407606959342957,0
Qwen3-8B,0,mmlu,,1,1,10.050070524215698,14.703722953796387,0.48410914838314056,2.5,0.1442154236137867,0.3602469265460968,0
Qwen3-8B,0,mmlu,,1,0,8.064310073852539,10.701885223388672,0.24169079796411097,9.25,0.21349599957466125,0.35492682456970215,0
Qwen3-8B,0,mmlu,,0,1,8.14010214805603,10.671567916870117,0.30574729293584824,3.25,0.08759822323918343,0.21500186622142792,0
Qwen3-8B,0,mmlu,,0,0,7.852091312408447,10.762518882751465,0.3427702388726175,7.875,0.2778581716120243,0.4887290894985199,0
Qwen3-8B,0,mmlu,,1,0,10.823152780532837,16.098302841186523,0.3520144745707512,8.125,0.08041111379861832,0.2003726363182068,0
Qwen3-8B,0,mmlu,,1,1,9.762059211730957,14.430870056152344,0.31719002686440945,6.0,0.21879816055297852,0.30324527621269226,0
Qwen3-8B,0,mmlu,,0,0,8.094626903533936,11.186956405639648,0.476966455578804,1.875,0.29299452528357506,0.5232648253440857,0
Qwen3-8B,0,mmlu,,1,0,9.95911979675293,14.673406600952148,0.40340968407690525,6.875,0.1891198828816414,0.2618791162967682,0
Qwen3-8B,0,mmlu,,0,0,7.3063859939575195,9.67110824584961,0.33569543063640594,3.125,0.24732547253370285,0.40914011001586914,0
Qwen3-8B,0,mmlu,,0,1,8.14010238647461,10.701885223388672,0.5616974979639053,1.625,0.2862812243402004,0.494598925113678,0
Qwen3-8B,0,mmlu,,1,0,8.276528358459473,11.126321792602539,0.40901461709290743,6.125,0.1899297572672367,0.2604359984397888,0
Qwen3-8B,0,mmlu,,1,0,7.745981931686401,10.368398666381836,0.4297889908775687,6.75,0.1751648336648941,0.31001797318458557,0
Qwen3-8B,0,mmlu,,1,1,10.231972217559814,14.703722953796387,0.3766204337007366,9.5,0.30912409722805023,0.3372737169265747,0
Qwen3-8B,0,mmlu,,0,0,5.684428930282593,5.911806106567383,0.6365820616483688,0.5,0.2518632486462593,0.38905516266822815,0
Qwen3-8B,0,mmlu,,1,0,7.685348033905029,10.277447700500488,0.3491265712073073,10.5,0.12706726416945457,0.33458539843559265,0
Qwen3-8B,0,mmlu,,1,1,10.686726331710815,15.764816284179688,0.28383638616651297,6.75,0.2806147038936615,0.4260454475879669,0
Qwen3-8B,0,mmlu,,0,0,7.2912278175354,9.580158233642578,0.3803180605173111,4.25,0.12217634078115225,0.2580379545688629,0
Qwen3-8B,0,mmlu,,1,1,8.412955045700073,11.217273712158203,0.4542484264820814,5.5,0.18757178261876106,0.2817138135433197,0
Qwen3-8B,0,mmlu,,1,1,10.383556842803955,15.037209510803223,0.3059989409521222,7.125,0.17697615921497345,0.491568922996521,0
Qwen3-8B,0,mmlu,,0,0,7.45797061920166,9.913643836975098,0.8272767066955566,0.75,0.2636059336364269,0.5377339720726013,0
Qwen3-8B,0,mmlu,,1,0,9.762059211730957,14.430870056152344,0.3340099826455116,2.875,0.11285926564596593,0.21839526295661926,0
Qwen3-8B,0,mmlu,,0,1,7.730823516845703,9.943961143493652,0.46266116201877594,2.625,0.2744594942778349,0.5172556042671204,0
Qwen3-8B,0,mmlu,,0,1,7.7459821701049805,10.216814041137695,0.8089026808738708,0.125,0.16161247715353966,0.25104641914367676,0
Qwen3-8B,0,mmlu,,1,0,10.6412513256073,15.310062408447266,0.32731142680859193,8.875,0.1707574911415577,0.45018336176872253,0
Qwen3-8B,0,mmlu,,1,0,7.806615829467773,10.338081359863281,0.3368335943669081,5.5,0.2221922054886818,0.2891618609428406,0
Qwen3-8B,0,mmlu,,1,0,7.882408380508423,10.550300598144531,0.4085776098072529,6.5,0.23631923459470272,0.44397053122520447,0
Qwen3-8B,0,mmlu,,0,0,8.898025751113892,12.581535339355469,0.8751198053359985,0.75,0.23367003351449966,0.288735955953598,0
