model,mean_acc_delta,min_acc_delta,max_acc_delta
DeepSeek-R1-Distill-Qwen-7B,0.06899999999999998,0.0,0.09599999999999997
Llama-3.1-8B-Instruct,0.08825000000000002,0.0,0.18900000000000006
Qwen2.5-7B-Instruct,0.11650000000000003,0.0,0.26000000000000006
Qwen3-8B,0.24874999999999997,0.0,0.417
