model,mean_acc_delta,min_acc_delta,max_acc_delta
DeepSeek-R1-Distill-Qwen-7B,0.06899999999999998,0.0,0.09599999999999997
Llama-3.1-8B-Instruct,0.09023,0.0,0.18900000000000006
Qwen2.5-7B-Instruct,-0.239741,-0.4049640000000001,0.0
Qwen3-8B,0.24874999999999997,0.0,0.417
